"id","sku","id_fonarte","clave_precio","artista","album","genero","genero2","genero3","categoria","play","spotify","itunes","amazon","google","amazon_mu","youtube","deezer","tidal","ruta_img","ruta_img_2","video","descripcion","fecha_alta","hora_alta","prendido","estatus","firelink","p","promo"
"458","7509841216715","CDDP-1671","CDDP","La Barranca","Fatalis","36","49","49","1","Si","https://open.spotify.com/album/7M3n13VMAwHkTXl7mSyXmm","https://itunes.apple.com/mx/album/fatalis/id994648095","https://www.amazon.com/Fat%C3%A2lis-Barranca/dp/B00YBRKJ7W/ref=sr_1_1?s=dmusic&ie=UTF8&qid=1485545724&sr=1-1-mp3-albums-bar-strip-0&keywords=la+barranca+fatalis",NULL,"https://music.amazon.com.mx/albums/B00YBRKJ7W?ref=dm_sh_b417-d602-dmcp-5b9f-2700e&musicTerritory=MX&marketplaceId=A1AM78C64UM0Y8","https://music.youtube.com/playlist?list=OLAK5uy_l0k1njBeG1joSjCC1FGvDcApexmDCmcXI","https://www.deezer.com/album/10528864?utm_source=deezer&utm_content=album-10528864&utm_term=2582078102_1556816742&utm_medium=web","https://tidal.com/album/48480231","img/caratulas/CDDP-1671.jpg",NULL,NULL,"Una de las bandas más legendarias del rock en México. La Barranca está celebrando 20 años de existencia desde que grabó el tema ya clásico ""Día Negro"". José Manuel Aguilera, fundador del grupo musicalizó la obra del Fantasma de la Ópera y Fatalis es una muestra de este trabajo instrumental que realizó el grupo.","2020-01-17","12:37:30","0","DIGITAL","Si",NULL,NULL
"1061","7509841274807","CDDP-7480","CDDP","La Barranca","Cuervos - Single","36","33","35","1","Si",,"https://itunes.apple.com/mx/album/cuervos-single/id1299914398","https://www.amazon.com/Cuervos/dp/B076Q469L4/ref=sr_1_1?ie=UTF8&qid=1508953339&sr=8-1&keywords=la+barranca+cuervos",NULL,NULL,NULL,NULL,NULL,"img/caratulas/2017_10_25_10_17_42__7509841274807.jpg",NULL,NULL,"Primer corte de lo que será el nuevo disco de La Barranca y que se llamará ""Lo Eterno"". Aquí una probada.","2017-10-25","10:44:13","0","DIGITAL","Si",NULL,NULL
"1088","7509841217897","CDDP-1789","CDDP","La Barranca","Lo Eterno","36","33","35","1","Si","https://open.spotify.com/album/4TDgqEee92BDBZFBPsL583?si=-hCdzZ4bTquKMGdQVBLFVg","https://itunes.apple.com/mx/album/lo-eterno/1348841170","http://a.co/ivUw4ky",NULL,"https://music.amazon.com.mx/albums/B07CPYJYC9?ref=dm_sh_38c9-33fe-dmcp-8ea9-eab79&musicTerritory=MX&marketplaceId=A1AM78C64UM0Y8","https://music.youtube.com/playlist?list=OLAK5uy_lAgpWUuL12bN8g5exPjfchOq8km6iLibM","https://www.deezer.com/mx/album/62402912","https://listen.tidal.com/album/88090679","img/caratulas/2018_02_16_10_51_41__7509841275057.jpg",NULL,"https://www.youtube.com/watch?v=ezAmPNYkJ0U","""Lo Eterno"", es el undécimo trabajo discográfico de La Barranca. José Manuel Aguilera en la voz y la guitarra, quien además es el compositor de todos los temas, Adolfo Romero en la guitarra, Ernick Romero en el bajo, Yann Zaragoza en el piano y sintetizadores, más Navi Naas en la batería, nos hacen imaginar con el futuro de Lo Eterno. Después de cinco años sin un disco inédito de La Barranca, en este 2018 tenemos su regreso con Lo Eterno. 
Les dejamos una muestra aquí: https://www.youtube.com/watch?v=ZoZCEjZ8Mp8
","2022-11-10","14:33:50","0","ACTIVO","Si",NULL,NULL
"1122","7509841000079","LP-07","LP4","La Barranca","Lo Eterno VINIL","36","35","1","3","No",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"img/caratulas/2018_07_02_20_17_19__LP-07.jpeg","img/caratulas/2018_07_02_20_13_50__LP-07 (2).jpg",NULL,"Vinil Lo Eterrno. Edición limitada en Gatefold. Vinil morado translúcido de 180g, prensado en Alemania. Incluye hoja de insert con letras y créditos. Matserizado para vinil por Tom Baker en Los Angeles CA.

Contiene los temas ""Cuervos"", ""Brecha"", ""Konichiwa"", ""Astronomía"" y ""Ceiba"", más otros 6 temas inéditos.

Lo Eterno fue grabado y mezclado a finales de 2017 y principios de 2018 en la Ciudad de México. Masterizado en Los Angeles CA.
","2021-12-14","08:58:25","0","INACTIVO",NULL,NULL,NULL
"1190","7509841217897","CDDP-1789","N/A","La Barranca","Astronomía - Single","36","49","49","1","Si","https://open.spotify.com/track/7B6OXE7IeeoxW1Kq6vrZxq","https://itunes.apple.com/mx/album/astronom%C3%ADa/1348841170?i=1348841929","https://www.amazon.com/Astronom%C3%ADa/dp/B07CPZY941/ref=sr_1_fkmrnull_1?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=la+barranca+astronomia&qid=1553880398&s=dmusic&sr=1-1-fkmrnull",NULL,"https://music.amazon.com.mx/albums/B07CPYJYC9?trackAsin=B07CPZY941&ref=dm_sh_98fa-a255-dmcp-d5ff-713a7&musicTerritory=MX&marketplaceId=A1AM78C64UM0Y8","https://music.youtube.com/watch?v=kmL_ebiCynE&feature=share","https://www.deezer.com/track/492915692?utm_source=deezer&utm_content=track-492915692&utm_term=2676743202_1553880569&utm_medium=web","https://listen.tidal.com/album/88090679/track/88090685","img/caratulas/2019_03_29_10_32_41__astronomia.jpg",NULL,"https://www.youtube.com/watch?v=ScFR8Zs7KAc",NULL,"2020-01-20","10:27:25","0","DIGITAL","Si",NULL,NULL
"1222","7509841000093","LP-09","LP4","La Barranca","Denzura VINIL","36","35","1","3","No",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"img/caratulas/2019_07_02_12_52_21__denzura.jpeg","img/caratulas/2019_07_02_12_52_21__denzura back.jpg",NULL,"Primera edición en vinil de color y 180g  de Denzura, el clásico álbum de LABARRANCA de 2003. Remasterizado por Harris Newman en Canada en 2019 y prensado en Alemania. Esta edición limitada ha sido supervisada directamente por J M Aguilera, y contiene además un inserto a color con las letras. Incluye los temas: Fascinación, Animal en Extinción, Hasta El Fin del Mundo, La Visión, Denzura, La Rosa y 6 más.","2021-12-21","13:05:12","0","INACTIVO","No",NULL,NULL
"1289","7509841277013","CDDP-7701","CDDP","La Barranca","Una Tarde en La Vida - Radio Edit (Noorbac & Caballero Mix)","36","12","34","1","Si","https://open.spotify.com/album/5A7MlblzuRrKWknpgAD5mS?si=0v2w-Gk0QMGUPEyixnIAug","https://music.apple.com/mx/album/una-tarde-en-la-vida-radio-edit-noorbac-caballero-mix-single/1498113930","https://www.amazon.com/-/es/dp/B084L27Z7K/ref=sr_1_fkmr1_2?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=noorbac+ravine&qid=1581701977&sr=8-2-fkmr1",NULL,"https://music.amazon.com.mx/albums/B084KX3QJS?ref=dm_sh_GGzyjHbgxcC5nH7DJbE3QDTb3","https://music.youtube.com/playlist?list=OLAK5uy_lpeTSZL1wff2fdtL6H8It5oQXfTWYmV-A","https://www.deezer.com/album/130762322?utm_source=deezer&utm_content=album-130762322&utm_term=2582078102_1581702122&utm_medium=web","https://tidal.com/browse/album/130684520","img/caratulas/2020_02_10_12_10_34__7509841277013.jpeg",NULL,"https://www.youtube.com/watch?v=7-6xtFYkxcQ","Primer single del disco NOCTURNO Remixes by Noorbac. Que inicia los festejos de los 25 años de la legendaria banda LA BARRANCA.","2020-02-14","10:37:38","0","DIGITAL","Si",NULL,NULL
"1295","7509841218108","CDDP-1810","CDDP","La Barranca","Nocturno (Remixes por Noorbac)","36","35","1","1","Si","https://open.spotify.com/album/6o4DMfeyvZKPuWpMExsYNd?si=2m8j6sCgRaG2B3uVCJlzfg","https://music.apple.com/mx/album/nocturno-remixes-por-noorbac/1498655336","https://www.amazon.com/-/es/dp/B084QJDHLX/ref=sr_1_fkmr0_1?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=nighttime+ravine&qid=1582908644&sr=8-1-fkmr0","https://www.amazon.com.mx/Nocturno-Barranca-Remixes/dp/B08WJJS77W/ref=sr_1_2?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=ZZRCSF23B1XV&keywords=barranca+nocturno&qid=1681497918&sprefix=barranca+nocturno%2Caps%2C176&sr=8-2","https://music.amazon.com.mx/albums/B084Q11WN5?ref=dm_sh_ba31-1d12-dmcp-ff82-488a6&musicTerritory=MX&marketplaceId=A1AM78C64UM0Y8","https://music.youtube.com/playlist?list=OLAK5uy_kAYcAGyfNfE0ht-KgiViXL20ZNJmWgZt0","https://www.deezer.com/album/131313472?utm_source=deezer&utm_content=album-131313472&utm_term=2582078102_1582908682&utm_medium=web","https://tidal.com/browse/album/131044719","img/caratulas/2020_02_27_12_03_11__7509841218108.jpeg",NULL,"https://www.youtube.com/watch?v=7-6xtFYkxcQ","Primer álbum de remixes del legendario grupo La Barranca, creado por Noorbac liderado por Yann Zaragoza. Incluye temas reconocidos de la banda como Konichiwa y Una Tarde en la Vida. El proyecto forma parte de los festejos de 25 Años de trayectoria de la banda.","2023-04-14","11:42:24","0","ACTIVO","Si",NULL,NULL
"1332","7509841277433","CDDP-7743","CDDP","La Barranca","La Resistencia (feat. Banda Sinfónica Municipal de Aguascalientes)","36","35","1","1","Si","https://open.spotify.com/album/1v3XVUunpoO4hLoP2TEjoe?si=MBJ7YuTYQBKJVVtpuTHJMA","https://music.apple.com/mx/album/la-resistencia-feat-banda-sinf%C3%B3nica-municipal-aguascalientes/1515357976","https://www.amazon.com/s?k=La+Barranca+La+Resistencia&i=digital-music&__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss",NULL,"https://music.amazon.com.mx/albums/B0899D2NCG?ref=dm_sh_eaa4-cb3a-dmcp-aaa7-5759b&musicTerritory=MX&marketplaceId=A1AM78C64UM0Y8","https://music.youtube.com/playlist?list=OLAK5uy_mAADNPOWJgAoqEr0-7u8s2KOfQbaP9TUw","https://www.deezer.com/album/151005482?utm_source=deezer&utm_content=album-151005482&utm_term=2706165622_1590731236&utm_medium=web","https://tidal.com/browse/album/142945951","img/caratulas/2020_05_26_12_15_24__7509841277433.jpeg",NULL,"https://www.youtube.com/watch?v=JazubPjX3Ww","Primer single del nuevo proyecto sinfónico de LA BARRANCA. Un tema originalmente del disco de SANGRE AZTECA. Acompañados de la Banda Sinfónica de Aguascalientes, nunca dejan de sorprender y de innovar como grupo.","2020-05-30","10:37:11","0","DIGITAL","Si",NULL,NULL
"1342","7509841277525","CDDP-7752","CDDP","La Barranca","San Miguel (feat. Banda Sinfónica Municipal de Aguascalientes)","36","1","35","1","Si","https://open.spotify.com/album/1sm2KQ3jZdN9Vwzg9RVTV1?si=YkgxaBVFQHaD8h1Iw-0DGw","https://music.apple.com/mx/album/san-miguel-feat-banda-sinf%C3%B3nica-municipal-aguascalientes/1521543996","https://www.amazon.com/-/es/San-Miguel-Barranca/dp/B08C7FNRTC/ref=sr_1_1?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=La+Barranca+San+Miguel&qid=1594400390&s=dmusic&sr=1-1",NULL,"https://music.amazon.com.mx/albums/B08C7FNRTC?ref=dm_sh_f06a-3cb9-dmcp-90b3-7677d&musicTerritory=MX&marketplaceId=A1AM78C64UM0Y8","https://music.youtube.com/playlist?list=OLAK5uy_mYcZogdqoOliGoo8sM3S-n0L60zLmI0gk","https://www.deezer.com/album/158176472?utm_source=deezer&utm_content=album-158176472&utm_term=2706165622_1594400517&utm_medium=web","https://tidal.com/browse/track/147104959","img/caratulas/2020_07_08_10_23_07__7509841277525.jpeg",NULL,NULL,"Segundo sencillo del proyecto FRAGOR. La Barranca con la Banda Sinfónica Municipal de Aguascalientes)","2020-07-10","10:02:19","0","DIGITAL","Si",NULL,NULL
