"iTunes Connect - Pagos e informes financieros	(Noviembre, 2024)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,2.76,2.76,0,0,0,2.76,5.50725,15.2,MXN,
Australia (AUD),8,,24.19,24.19,0,0,-2.42,21.77,12.60496,274.41,MXN,
Brasil (BRL),1,,35.63,35.63,0,0,0,35.63,3.27112,116.55,MXN,
Canadá (CAD),4,,49.47,49.47,0,0,0,49.47,14.06367,695.73,MXN,
Suiza (CHF),0,,6.13,6.13,0,0,0,6.13,22.60848,138.59,MXN,
Chile (CLP),1,,24082,24082,0,0,0,24082,0.02031,489.06,MXN,
China continental (CNY),0,,4.85,4.85,0,0,0,4.85,2.76907,13.43,MXN,
Colombia (COP),0,,82676.68,82676.68,0,0,0,82676.68,0.0046,380.6,MXN,
República Checa (CZK),0,,19.91,19.91,0,0,0,19.91,0.83375,16.6,MXN,
Dinamarca (DKK),0,,12.72,12.72,0,0,0,12.72,2.81761,35.84,MXN,
Eurozona (EUR),7,,116,116,0,0,0,116,21.01336,2437.55,MXN,
Reino Unido (GBP),1,,13.4,13.4,0,0,0,13.4,25.31269,339.19,MXN,
Hong Kong (HKD),0,,2.11,2.11,0,0,0,2.11,2.6019,5.49,MXN,
Hungría (HUF),0,,49,49,0,0,0,49,0.05143,2.52,MXN,
Indonesia (IDR),0,,4230,4230,0,0,0,4230,0.00124,5.25,MXN,
Israel (ILS),0,,7.3,7.3,0,0,0,7.3,5.55616,40.56,MXN,
India (INR),0,,60.29,60.29,0,0,0,60.29,0.23702,14.29,MXN,
Japón (JPY),10,,5392,5392,0,0,-539,4853,0.12911,626.57,MXN,
República de Corea (KRW),0,,2004,2004,0,0,0,2004,0.01393,27.92,MXN,
Kazajistán (KZT),0,,88.45,88.45,0,0,0,88.45,0.03799,3.36,MXN,
México (MXN),142,,22104.73,22104.73,0,0,0,22104.73,1,22104.73,MXN,
Malasia (MYR),0,,0.73,0.73,0,0,0,0.73,4.60274,3.36,MXN,
Noruega (NOK),0,,10.2,10.2,0,0,0,10.2,1.77059,18.06,MXN,
Nueva Zelanda (NZD),0,,1.36,1.36,0,0,-0.13,1.23,11.39837,14.02,MXN,
Perú (PEN),2,,46.24,46.24,0,0,0,46.24,5.41285,250.29,MXN,
Filipinas (PHP),0,,13.34,13.34,0,0,0,13.34,0.34633,4.62,MXN,
Polonia (PLN),0,,9.27,9.27,0,0,0,9.27,4.94175,45.81,MXN,
Catar (QAR),0,,0.75,0.75,0,0,0,0.75,5.6,4.2,MXN,
Rumanía (RON),0,,2.74,2.74,0,0,0,2.74,4.21898,11.56,MXN,
Rusia (RUB),1,,97.97,97.97,0,0,0,97.97,0.19516,19.12,MXN,
Arabia Saudí (SAR),0,,1.12,1.12,0,0,0,1.12,5.38393,6.03,MXN,
Suecia (SEK),0,,13.37,13.37,0,0,0,13.37,1.83246,24.5,MXN,
Singapur (SGD),0,,0.25,0.25,0,0,0,0.25,14.88,3.72,MXN,
Turquía (TRY),0,,11.22,11.22,0,0,0,11.22,0.57487,6.45,MXN,
Taiwán (TWD),0,,37,37,0,0,0,37,0.61892,22.9,MXN,
América (USD),115,,1445.21,1445.21,0,0,-144.52,1300.69,20.234,26318.16,MXN,
América Latina y el Caribe (USD),3,,51.69,51.69,0,0,0,51.69,20.23409,1045.9,MXN,
Resto del mundo (USD),0,,1.91,1.91,0,0,0,1.91,20.2356,38.65,MXN,
Sudáfrica (ZAR),0,,8.51,8.51,0,0,0,8.51,1.10106,9.37,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"55,630.16 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
