"iTunes Connect - Pagos e informes financieros	(Abril, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3,3,0,0,0,3,5.26333,15.79,MXN,
Australia (AUD),5,,35.52,35.52,0,0,-3.56,31.96,12.42334,397.05,MXN,
Brasil (BRL),1,,38.7,38.7,0,0,0,38.7,3.41499,132.16,MXN,
Canadá (CAD),4,,73.69,73.69,0,0,0,73.69,13.92645,1026.24,MXN,
Suiza (CHF),1,,12.09,12.09,0,0,0,12.09,23.39454,282.84,MXN,
Chile (CLP),0,,30492,30492,0,0,0,30492,0.02051,625.24,MXN,
China continental (CNY),0,,3.8,3.8,0,0,0,3.8,2.68158,10.19,MXN,
Colombia (COP),0,,79998.56,79998.56,0,0,0,79998.56,0.00463,370.78,MXN,
República Checa (CZK),0,,30.17,30.17,0,0,0,30.17,0.8757,26.42,MXN,
Dinamarca (DKK),0,,9.47,9.47,0,0,0,9.47,2.92714,27.72,MXN,
Egipto (EGP),0,,6.29,6.29,0,0,0,6.29,0.38156,2.4,MXN,
Eurozona (EUR),13,,141.01,141.01,0,0,0,141.01,21.83739,3079.29,MXN,
Reino Unido (GBP),5,,25.09,25.09,0,0,0,25.09,25.89996,649.83,MXN,
Hong Kong (HKD),1,,8.86,8.86,0,0,0,8.86,2.46953,21.88,MXN,
Hungría (HUF),0,,207,207,0,0,0,207,0.05382,11.14,MXN,
Indonesia (IDR),0,,7209,7209,0,0,0,7209,0.00118,8.52,MXN,
Israel (ILS),0,,7.54,7.54,0,0,0,7.54,5.41645,40.84,MXN,
India (INR),0,,78.14,78.14,0,0,0,78.14,0.22639,17.69,MXN,
Japón (JPY),6,,4487,4487,0,0,-449,4038,0.13474,544.08,MXN,
República de Corea (KRW),0,,1924,1924,0,0,0,1924,0.01396,26.86,MXN,
México (MXN),144,,27654.98,27654.98,0,0,0,27654.98,1,27654.98,MXN,
Malasia (MYR),0,,0.72,0.72,0,0,0,0.72,4.55556,3.28,MXN,
Noruega (NOK),0,,15.03,15.03,0,0,0,15.03,1.89554,28.49,MXN,
Nueva Zelanda (NZD),0,,2.95,2.95,0,0,-0.3,2.65,11.41887,30.26,MXN,
Perú (PEN),1,,57.3,57.3,0,0,0,57.3,5.25009,300.83,MXN,
Filipinas (PHP),0,,8.52,8.52,0,0,0,8.52,0.35915,3.06,MXN,
Polonia (PLN),0,,8.26,8.26,0,0,0,8.26,5.15496,42.58,MXN,
Rumanía (RON),0,,3.97,3.97,0,0,0,3.97,4.28967,17.03,MXN,
Rusia (RUB),4,,285.08,285.08,0,0,0,285.08,0.2413,68.79,MXN,
Arabia Saudí (SAR),0,,1.3,1.3,0,0,0,1.3,5.15385,6.7,MXN,
Suecia (SEK),0,,13.44,13.44,0,0,0,13.44,2.01265,27.05,MXN,
Singapur (SGD),0,,0.25,0.25,0,0,0,0.25,14.96,3.74,MXN,
Tailandia (THB),0,,5.13,5.13,0,0,0,5.13,0.59649,3.06,MXN,
Turquía (TRY),0,,12.56,12.56,0,0,0,12.56,0.49682,6.24,MXN,
Taiwán (TWD),0,,31,31,0,0,0,31,0.64097,19.87,MXN,
Tanzania (TZS),0,,300.21,300.21,0,0,0,300.21,0.00726,2.18,MXN,
América (USD),84,,1784.84,1784.84,0,0,-178.49,1606.35,19.3214,31036.93,MXN,
Resto del mundo (USD),0,,1.85,1.85,0,0,0,1.85,19.31892,35.74,MXN,
América Latina y el Caribe (USD),6,,94.43,94.43,0,0,0,94.43,19.3214,1824.52,MXN,
Sudáfrica (ZAR),0,,11.65,11.65,0,0,0,11.65,1.0721,12.49,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"68,444.78 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
