Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency	Anio	Mes
08/03/2025	08/30/2025		MXF602100411	MXF602100411	1	0.9	0.9	EUR	S	1563076412	Ricardo Larrea	Namibia Ambients	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR	2025	8
08/03/2025	08/30/2025		MXF602100414	MXF602100414	1	0.9	0.9	EUR	S	1563076415	Ricardo Larrea	Namibia Dunes	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR	2025	8
08/03/2025	08/30/2025		MXF602100408	MXF602100408	1	0.9	0.9	EUR	S	1563076409	Ricardo Larrea	Etosha Landscape	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR	2025	8
08/03/2025	08/30/2025		MXF600601788	MXF600601788	1	0.71	0.71	EUR	S	160452183	Tyjuas Steelo	Mafia Organizada (Tijuana, BC)	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR	2025	8
08/03/2025	08/30/2025		MXF602100415	MXF602100415	1	0.9	0.9	EUR	S	1563076686	Ricardo Larrea	Namibia Expedition	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR	2025	8
08/03/2025	08/30/2025		MXF602100196	MXF602100196	1	0.9	0.9	EUR	S	1562441005	Ricardo Larrea	Botswana	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR	2025	8
08/03/2025	08/30/2025		MXF600600970	MXF600600970	1	0.71	0.71	EUR	S	188298801	Ren̩ Villanueva	Valicha (Huayno)	Fonarte Latino, S.A. de C.V.		H		ES			0.99	EUR	2025	8
08/03/2025	08/30/2025		MXF601500710	MXF601500710	1	0.71	0.71	EUR	S	1037058761	Ricardo Larrea	Majestic Africa	Fonarte Latino, S.A. de C.V.		H		IT			0.99	EUR	2025	8
08/03/2025	08/30/2025		MXF601300857	MXF601300857	1	0.71	0.71	EUR	S	694734839	Calacas Jazz Band	It Don't Mean a Thing (If It Ain't Got That Swing)	Fonarte Latino, S.A. de C.V.		H		IT			0.99	EUR	2025	8
08/03/2025	08/30/2025		MXF600800330	MXF600800330	1	0.71	0.71	EUR	S	314435617	Terceto de Guitarras de la Ciudad de Mexico	Tierra Mestiza	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR	2025	8
